Video ID,Title,Channel,Upload date,Stock,Summary,Company,Symbol
a1VjMCEJt8g,"Three-Stock Lunch: AMAT, TSLA and EQT",CNBC Television,2023-03-06 20:35:34+00:00,392,"tesla lower, after announcing more price cuts for the models in the us, and eqt the worst performer today. nat gas prices dropped 14% here to trade all three is ari- i'm sorry. managing director and head of technical analysis. the more you get to know someone, the moreYou make the mistake.",EQT,EQT
a1VjMCEJt8g,"Three-Stock Lunch: AMAT, TSLA and EQT",CNBC Television,2023-03-06 20:35:34+00:00,11,"tesla lower, after announcing more price cuts for the models in the us, and eqt the worst performer today. nat gas prices dropped 14% here to trade all three is ari. we like large cap growth as a theme. it's not going to be the same one-way bet that it was for much of the last decade.",Tesla,TSLA
a1VjMCEJt8g,"Three-Stock Lunch: AMAT, TSLA and EQT",CNBC Television,2023-03-06 20:35:34+00:00,47,"High beta cyclicals are expected to lead the market higher over the coming months. One of our favorite industries to gain exposure to cyclicality is semiconductors, given the broadness of the strength in the industry. i think applied materials is the tactical setup here getting above its breakout point from last august's peak.",Applied Materials,AMAT
Pv7pxxY63Z0,Salesforce vs. Snowflake: Best bet for your money,CNBC Television,2023-03-02 14:06:12+00:00,26,"enterprise software after hours, with salesforce spiking on a beat in the promises of margin improvement and snowflake sinking on light guidance. which is the better long-term bet? jon fortt is here to weigh in again on two stocks which he has done: roblox, ea, doordash, uber.",Salesforce,CRM
ezu6xuYnugc,Oracle shares tumble after cloud business fails to meet growth expectations,CNBC Television,2023-03-10 12:45:28+00:00,20," oracle chairman larry ellison weighs in on ai and chatgpt, comparing it to oracle's own ai tech. i think you have to keep an eye on both issues. the promise is something we don't want to lose sight of. i have not been to gap in years. i bought socks there.",Oracle,ORCL
CiZCR6GPEs4,"Three-Stock Lunch: JNJ, CVS & D",CNBC Television,2023-03-02 20:37:12+00:00,16,"johnson & johnson trading at new lows- not seen since 2020, already down 14% year to date. Johnson & Johnson shares down 2.5% to close at $26.50. Company's stock is down more than 14% this year, down from $28.50 in January.",Johnson & Johnson,JNJ
CiZCR6GPEs4,"Three-Stock Lunch: JNJ, CVS & D",CNBC Television,2023-03-02 20:37:12+00:00,92,cvs health trading at levels not seen since august 2021- down 12%. CVS health shares down 12% in pre-market trading. Cvs health shares up 1%. Cvs shares down 1% in aftermarket trading on Tuesday. CVS shares down 0.7%.,CVS Health,CVS
CiZCR6GPEs4,"Three-Stock Lunch: JNJ, CVS & D",CNBC Television,2023-03-02 20:37:12+00:00,216,"CVS is a good quality stock, reasonably valued. dominion energy is a sell. i can't touch this stock. there's too many uncertainties. you can't buy a stock. that is telling you actively. we are re-evaluating our business. how do you know what the revenues are is? what do you think are the reasonable multiple? how much is going to get capped by the virginia legislature?",Dominion Energy,D
Hnk1pdHBs9s,"Snowflake has more opportunities than Salesforce, says Jefferies' Brent Thill",CNBC Television,2023-03-01 21:58:24+00:00,26,"i think salesforce is getting their act together on the cost side. i'm really intrigued by their cloud app strategy and their snow park strategy. i would say, if you look at salesforcecom eight, ten years ago, that's where snowflake is at today. this is a management team that understands how to build a great franchise.",Salesforce,CRM
mrJIb-gswu4,Lightning Round: Cardinal Health is a very good stock to own here,CNBC Television,2023-03-02 01:09:40+00:00,283,"caller cardinal health buy -- >>. i like cardinal it's best on this little dip. let's go to mark in wisconsin, mark. caller scott had an outstanding interview with david today. caller, during the course of the interview they flashed some screens with stocks on it and one caught my eye in the it services ticker.",Cardinal Health,CAH
cHc-thRzyaA,"Lowe's has better internal levers to pull in tough times than Home Depot, says Oppenheimer's Nagel",CNBC Television,2023-03-01 12:35:17+00:00,19,"i'm looking at this report and relative to what we heard from home depot and the chatter out there. this report from lowe's is rather benign, which is interesting to me because remember last week, home depot further unneshed investors with a somewhat weaker q4 report and dampened expectations in 2023. if you look at the results, they're inconsistent with what home depot said last week. maybe they maybe they.",Home Depot,HD
cHc-thRzyaA,"Lowe's has better internal levers to pull in tough times than Home Depot, says Oppenheimer's Nagel",CNBC Television,2023-03-01 12:35:17+00:00,57,"this report from lowe's is rather benign, which is interesting to me because remember last week, home depot further unneshed investors with a somewhat weaker q4 report and dampened expectations in 2023. when i look at these valuations, even given all the concerns, the valuation oflowe's makes no sense to me. i think the stock here is quite cheap.",Lowe,LOW
XBlFcr1HnH8,"Uber could be a value stock if it stopped spending on growth, says Lyrical's Andrew Wellington",CNBC Television,2023-03-03 18:21:05+00:00,50,"i want to hear your thoughts on some of the stocks you've bought this week. i want to know why you bought primerica, concentric, uber and cnxc. i also want you to weigh in on a discussion that we've had this week really ever since i gue.",Uber,UBER
O9Yf_E7G4HQ,"Oil prices are in a good place right now, says Occidental Petroleum CEO",CNBC Television,2023-03-06 14:16:14+00:00,150," occidental petroleum vi, vicki hollub, our first guest of the conference. i think prices are in a good place, right now. if you're in the 75 to $80 range for oil prices, that's a sustainable price scenario. i do believe we're in a scenario where prices will be higher because of the lack of supply. We don't actually care about oil, we care about the finished product. we're still limited in terms of our capacity, to 18 to 19 million barrels a day. we can balance the kind of oil that the refineries here in the united states need with -- by importing some of the heavier oil and exporting some of our lighter oil.",Occidental,OXY
53i5Dt9egfY,"Three-Stock Lunch: ZS, COST and META",CNBC Television,2023-03-03 20:25:15+00:00,23," costco net sales up 6.5% year over year, but missed revenue expectations. renewal rates for members hit an all-time high- nearly 93% in the us and canada. More of those numbers opting for costco's top tier membership plan, with a higher fee and morerevenue.",Costco,COST
53i5Dt9egfY,"Three-Stock Lunch: ZS, COST and META",CNBC Television,2023-03-03 20:25:15+00:00,5,"meta finally shares up 6%. why? now julia, what's going on? >> kelly, meta did slash prices on vr headsets, cutting $500 from the cost of its meta pro to $1,000. morgan stanley calling ai a $ trillion opportunity, saying meta has a path for 6%, plus ad revenue.",Meta,META
wJVCW92S7z4,Cramer’s Mad Dash: What Oracle's latest quarter suggests,CNBC Television,2023-03-10 15:17:13+00:00,20," oracle is a company that bought cerna, which was an okay medical records business. The cloud stuff is very positive. they bought back a lot of stock. it's very cheap. they're working with jensen- oracle was mentioned- with n Nvidia. If the stock is down, four logical place to go is oracle.",Oracle,ORCL
