,Video ID,Title,Channel,Upload date,Stock,Summary,Company,Symbol
0,YEoJq_PcOgc,What can reignite Apple shares?,CNBC Television,2024-02-28 17:55:38+00:00,1,"i don't expect anything to happen at the shareholders' meeting today to see a catalyst for that. i think what we need is, in june at the wwdc, to hear about the ai innovation- and you had a little bit of a glimpse into it yesterday. if apple is able to confidently communicate to its investor base how we're going to incorporate ai into the iphone 16, it will absolutely restart the momentum in the stock. Apple has been flat for three years, according to analyst Jenny Weiss. Weiss: Apple has not been working on incorporating artificial intelligence into the iphone. ""i think we're just missing the potential"" of the company, Weiss says. ""There's just nothing in there that's compelling"" i suspect them following again. we don't even know the use cases for ai other than at the highest level, other than searching, for you know books or answers to questions with microsoft and chatgpt. nobody was focused on the car. it's been ten years in the making and it shows to me that the apple brand has atrophied a little bit. i know it will be controversial. if you go back 15 years ago, every auto company would have been",Apple,AAPL
1,BOm0zNiaNjg,Alphabet's AI problems: Stock falls 4%,CNBC Television,2024-02-26 19:01:28+00:00,3,"The stock of alphabet is down 4%. The stock never recovered from the earnings report. In silicon valley, stock prices become the perception that drives stock prices in the short-term can always cross over and become reality. There's a problem at alphabet. They did way too much hiring and imported a virus.",Alphabet,GOOGL
2,cTncTPylZQ8,Apple shares touch a 4-month low,CNBC Television,2024-03-05 17:54:20+00:00,1,"i'm not particularly very bullish on the eye wear they've come out with. this is a mid-20s multiple. i've had about half the market weight in it. i suspect it's around 160. when it does, when it bottoms out, i will be adding to it. there is no fatal flaw here. i didn't expect them to be leading the charge on ai. they've never done so. this happens again and again. i laugh at the downgrades. the stock has been incredible. it has six months a year where it doesn't give you much. i can live with that. iReporter: Apple has really set us up to no longer look at hand sets but look at services. i think josh has a great point here. apple is more than willing to let its competitors find the proof of concept and then monetize it. No other electronic consumer company in my opinion that will be able to create such a strong install base.",Apple,AAPL
3,qAITe2Hn8Hc,"Three-Stock Lunch: Broadcom, Kroger & Costco",CNBC Television,2024-03-07 20:47:58+00:00,217,"Kroger is up 23% over the past month. This has really gotten ahead of itself and the albertsons deal really seems to be in trouble. Another reason to wait for a pullback is that the price is very reasonable: 12.3, much lower than target.",Kroger,KR
4,qAITe2Hn8Hc,"Three-Stock Lunch: Broadcom, Kroger & Costco",CNBC Television,2024-03-07 20:47:58+00:00,23,"finally, costco reporting results after the bell today. this is more of a tumor, stable, but has actually had a decent run. it had a wonderful run, which is why it is time to sell. i remember when we were waiting for walmart to grow in its valuat.",Costco,COST
5,G573i2zmNkk,"Committee stocks on the move: Costco, Eli Lilly, Netflix, Google and Gold",CNBC Television,2024-03-08 18:20:25+00:00,23,"costco mixed quarter. jason snipe rev. miss seems everybody loves this stock, you included. does this change your mind in any way? >> no, i think this is really an overreaction. the stock is more susceptible to market conditions than idiosyncratic conditions for itself.",Costco,COST
6,G573i2zmNkk,"Committee stocks on the move: Costco, Eli Lilly, Netflix, Google and Gold",CNBC Television,2024-03-08 18:20:25+00:00,27,"barclays has a note that says it could be a bigger winner for youtube than for netflix. i wouldn't be surprised if youtube is a leader. the play on linear tv, the only pull i believe, is live, live sports live business. i think these are all positive catalysts for them.",Netflix,NFLX
7,fIw6XBGxfhw,"Three-Stock Lunch: Biogen, DocuSign & Gap",CNBC Television,2024-03-08 20:21:17+00:00,263,"The biogen stock shares are down over 10% this year. The postpartum depression drug has not performed as expected. gap inc share are popping after. the holiday sales were good. The stock is still down, despite the move in 2024 but shares up more than 80% over the past six months.",Biogen,BIIB
8,DbzX64TystQ,"The big question facing Warner Bros. Discovery is whether it can grow, says Tom Rogers",CNBC Television,2024-02-26 14:44:16+00:00,336,"i think the time may be coming that they have to own up to whether renaming the streaming srd max was the best idea here. i think there's a lot of indication in terms of pure engagement. despite all the emmys that they win, there's still a percentage of television time where they if need to get much more.",Warner Bros,WBD
9,ftSzI6MP7mo,"Three Stock Lunch: Hewlett Packard, Dell, and Boeing",CNBC Television,2024-03-01 21:06:45+00:00,78,Boeing is in talks to buy trouble supplier spirit aerosystems. shares of boeing. down today. A troubled company buying a troubled company does not make a good company. i've never been a fan of this company. they have a tremendous amount of debt again just when you start getting comfortable about orders.,Boeing,BA
