Unnamed: 0,Video ID,Title,Channel,Upload date,Stock,Summary,Company,Symbol,Sentiment
0,YEoJq_PcOgc,What can reignite Apple shares?,CNBC Television,2024-02-28 17:55:38+00:00,1,"i don't expect anything to happen at the shareholders' meeting today to see a catalyst for that. i think what we need is, in june at the wwdc, to hear about the ai innovation- and you had a little bit of a glimpse into it yesterday. if apple is able to confidently communicate to its investor base how we're going to incorporate ai into the iphone 16, it will absolutely restart the momentum in the stock. Apple has been flat for three years, according to analyst Jenny Weiss. Weiss: Apple has not been working on incorporating artificial intelligence into the iphone. ""i think we're just missing the potential"" of the company, Weiss says. ""There's just nothing in there that's compelling"" i suspect them following again. we don't even know the use cases for ai other than at the highest level, other than searching, for you know books or answers to questions with microsoft and chatgpt. nobody was focused on the car. it's been ten years in the making and it shows to me that the apple brand has atrophied a little bit. i know it will be controversial. if you go back 15 years ago, every auto company would have been",Apple,AAPL,2
1,BOm0zNiaNjg,Alphabet's AI problems: Stock falls 4%,CNBC Television,2024-02-26 19:01:28+00:00,3,"The stock of alphabet is down 4%. The stock never recovered from the earnings report. In silicon valley, stock prices become the perception that drives stock prices in the short-term can always cross over and become reality. There's a problem at alphabet. They did way too much hiring and imported a virus.",Alphabet,GOOGL,0
2,cTncTPylZQ8,Apple shares touch a 4-month low,CNBC Television,2024-03-05 17:54:20+00:00,1,"i'm not particularly very bullish on the eye wear they've come out with. this is a mid-20s multiple. i've had about half the market weight in it. i suspect it's around 160. when it does, when it bottoms out, i will be adding to it. there is no fatal flaw here. i didn't expect them to be leading the charge on ai. they've never done so. this happens again and again. i laugh at the downgrades. the stock has been incredible. it has six months a year where it doesn't give you much. i can live with that. iReporter: Apple has really set us up to no longer look at hand sets but look at services. i think josh has a great point here. apple is more than willing to let its competitors find the proof of concept and then monetize it. No other electronic consumer company in my opinion that will be able to create such a strong install base.",Apple,AAPL,1
3,qAITe2Hn8Hc,"Three-Stock Lunch: Broadcom, Kroger & Costco",CNBC Television,2024-03-07 20:47:58+00:00,217,"Kroger is up 23% over the past month. This has really gotten ahead of itself and the albertsons deal really seems to be in trouble. Another reason to wait for a pullback is that the price is very reasonable: 12.3, much lower than target.",Kroger,KR,0
4,qAITe2Hn8Hc,"Three-Stock Lunch: Broadcom, Kroger & Costco",CNBC Television,2024-03-07 20:47:58+00:00,23,"finally, costco reporting results after the bell today. this is more of a tumor, stable, but has actually had a decent run. it had a wonderful run, which is why it is time to sell. i remember when we were waiting for walmart to grow in its valuat.",Costco,COST,1
5,G573i2zmNkk,"Committee stocks on the move: Costco, Eli Lilly, Netflix, Google and Gold",CNBC Television,2024-03-08 18:20:25+00:00,23,"costco mixed quarter. jason snipe rev. miss seems everybody loves this stock, you included. does this change your mind in any way? >> no, i think this is really an overreaction. the stock is more susceptible to market conditions than idiosyncratic conditions for itself.",Costco,COST,1
6,G573i2zmNkk,"Committee stocks on the move: Costco, Eli Lilly, Netflix, Google and Gold",CNBC Television,2024-03-08 18:20:25+00:00,27,"barclays has a note that says it could be a bigger winner for youtube than for netflix. i wouldn't be surprised if youtube is a leader. the play on linear tv, the only pull i believe, is live, live sports live business. i think these are all positive catalysts for them.",Netflix,NFLX,2
7,fIw6XBGxfhw,"Three-Stock Lunch: Biogen, DocuSign & Gap",CNBC Television,2024-03-08 20:21:17+00:00,263,"The biogen stock shares are down over 10% this year. The postpartum depression drug has not performed as expected. gap inc share are popping after. the holiday sales were good. The stock is still down, despite the move in 2024 but shares up more than 80% over the past six months.",Biogen,BIIB,0
8,DbzX64TystQ,"The big question facing Warner Bros. Discovery is whether it can grow, says Tom Rogers",CNBC Television,2024-02-26 14:44:16+00:00,336,"i think the time may be coming that they have to own up to whether renaming the streaming srd max was the best idea here. i think there's a lot of indication in terms of pure engagement. despite all the emmys that they win, there's still a percentage of television time where they if need to get much more.",Warner Bros,WBD,1
9,ftSzI6MP7mo,"Three Stock Lunch: Hewlett Packard, Dell, and Boeing",CNBC Television,2024-03-01 21:06:45+00:00,78,Boeing is in talks to buy trouble supplier spirit aerosystems. shares of boeing. down today. A troubled company buying a troubled company does not make a good company. i've never been a fan of this company. they have a tremendous amount of debt again just when you start getting comfortable about orders.,Boeing,BA,0
10,6OnjUyzSPKo,Capital Wealth's Kevin Simpson breaks down buying opportunities in Apple on weakness,CNBC Television,2024-03-05 21:59:06+00:00,1,"Scott: Apple is the same stop that we had sold to get into broadcom. Scott: apple is down about 15% since the beginning of november, so this is an opportunity for us to rebuild our apple position here. scott: i think 160 is where we are going to have an opportunity to backfill this particular position for us. McDonald's and visa are among the stocks the firm is looking to buy. The company is offering premiums in excess of 5%. The stock market is stretched, but there is a lot of momentum behind it, he says. The earnings statement is fairly decent, even though all the economic data isn't perfect.",Apple,AAPL,1
11,EUcIbKO4M5A,"Expect more near-term downward pressure on Tesla stock, says Wells Fargo's Colin Langan",CNBC Television,2024-03-05 19:08:51+00:00,11,"let's talk about tesla first, because it is a driver of the market, if you will. i think in the near term we're talking about another year until at least the model two comes. so the stock really lacks a clear catalyst over that period. so there's still going to be some downward pressure the stock but there's risk/rewards to the name.",Tesla,TSLA,0
12,NvSK3iHdXcM,Here's why Apple should be in your portfolio,CNBC Television,2024-03-04 18:53:55+00:00,1,"Apple is shutting down its car ambitions and will shift resources to artificial intelligence. Apple is a supplier that gets a whole lot of eyeballs on things that run ai. i'm glad they're back to understanding what they do, and this feels very microsoft, says Kim.",Apple,AAPL,1
13,0WQSSp_wYrA,Apple unveils 'world's best consumer laptop for AI',CNBC Television,2024-03-04 17:37:21+00:00,1,"Investors are getting impatient, searching for apple's ai strategy, the release of an ai laptop highlights, an up sale cycle and the idea that apple can leverage ai features to its products. The street is divided on whether that can get apple caught up in the ai race.",Apple,AAPL,1
14,PuQx9vs9Aek,"Apple's slump is a buying opportunity, says Wedbush's Dan Ives",CNBC Television,2024-03-06 01:40:09+00:00,1,"Apple has a huge target on its back, despite the fact that it must spend hundreds of millions on manufacturing it. The chinese government has effectively banned government employees from using iphones, at least from their job role. Apple is going to introduce a wwdc in june, the start of an ai app store and incorporate ai into iphone.",Apple,AAPL,1
15,UO7utWSxZDg,Costco shares slip after quarterly earnings report,CNBC Television,2024-03-07 23:18:54+00:00,23,"Costco shares are lower in overtime- just over 4% at the moment. The stock has run up a lot, so i think expectations were high. costco is lowering prices, especially on discretionary goods. that will drive morse door traffic and, most importantly, it will drive membership income and renewal rates.",Costco,COST,0
16,tixpZyKhQok,Wells Fargo's Mike Mayo on why Citi is his top bank stock pick,CNBC Television,2024-03-08 14:32:38+00:00,75,"speaking at a conference, also saying citi's reorganization will be complete by end of this month. Citi is going from this matrix management structure, all of these countries and functions, to five lines of business, very simple services. by the end, citi will have made all the major decisions about where people stand. citi's selling off revenues equal to that procter & gamble, according to our expert at wells fargo, a challenged company. If she doesn't get a 10% return- double-digit return- in three years from now, could be out of a job, but if she gets returns, should be banker of the year.",Citi,C,1
17,tixpZyKhQok,Wells Fargo's Mike Mayo on why Citi is his top bank stock pick,CNBC Television,2024-03-08 14:32:38+00:00,34,"i'm walking around the wells fargo equity research floor and we have dozens and dozens's analysts. and then i find the consumer staples analyst, chris carrie. sounds like procter & gamble. several years ago, had functions, went to six lines of business. citi's selling off revenues equal to that proctor & gamble, according to our expert.",Wells Fargo,WFC,1
18,SWJiz-QKSF8,"Three-Stock Lunch: Super Micro Computer, Deckers Outdoor, and Viking Thera",CNBC Television,2024-03-04 20:52:04+00:00,307,"Viking Therapeutics is a company that is emerging as a strong weight loss drug player. The stock is up by almost 300% over the course of the past month. deckers outdoor is another name that will be joining the s&p 500, this is behind uggs.",Deckers Outdoor,DECK,2
19,dAMRdOlfJPo,Apple bull vs. bear debate: What's next for the company?,CNBC Television,2024-03-01 14:57:00+00:00,1,"join us for a bear debate over apple. dan flax, newberger, berman research analyst, looked high and low. walter piecheck, analyst. do you feel lonely? anybody else a bear on apple? really, walter? that's heresy. i'm not definitely putting a lot on the shoulders of ai, which we have no information today. i mean just talk to the operators and people are holding on ththeir iphones longer to the company's credit. i can't even believe that yeah people don't even talk about the possibility. that apple's not the answer to everything.",Apple,AAPL,1
20,gbTEmNWLfvE,The not-so Magnificent 7: Alphabet and Apple,CNBC Television,2024-02-27 18:02:55+00:00,3,"i think there is a lot of opportunity for google to right the ship. i fully agree with what rob is saying on alphabet and the parallels to meta should not be lost on the audience. they have not streamlined or got fit. there are problem, problematic ideas that have nothing to do with running a business successfully.",Alphabet,GOOGL,1
